		2023-04-18	2023-05-17	2023-06-15	2023-07-19	2023-08-17	2023-09-15	2023-10-20	2023-11-02	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
vehicle loading crane 10 year inspection		-	22	4	3	9	5	6	5	2	2	1	2	1	1	3	2	2	2	2	1
10 year crane inspection		9	29	8	3	6	4	3	2	2	2	3	2	2	2	2	2	2	2	2	2
major crane inspection		15	21	12	11	12	11	10	5	4	5	4	4	6	5	6	6	6	6	5	1
10 year major inspection		9	-	11	9	12	10	5	5	4	3	1	1	1	1	1	1	1	1	1	1
mobile crane 10 year major inspection		9	30	7	7	7	7	3	3	3	3	3	1	2	3	2	1	3	2	3	2
mobile crane 10 year inspection		11	28	7	4	5	3	4	2	2	2	1	1	1	1	1	1	1	1	1	1
mobile crane major inspection		13	22	9	9	11	6	5	5	3	3	4	1	1	5	4	4	5	4	5	4
10 year crane certification		9	31	7	5	4	5	4	4	4	4	3	1	1	1	1	2	2	1	2	1
major crane certification		9	12	3	3	3	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1
annual crane inspection		8	22	2	2	5	2	2	2	2	2	1	1	2	3	2	2	3	3	2	2
crane inspection		30	56	20	20	-	33	24	8	6	3	15	7	4	5	11	12	12	17	9	8
truck crane inspection		28	62	8	7	7	8	8	4	4	7	6	3	3	3	2	10	3	3	3	2
mobile truck crane inspection		8	65	2	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
all terrain crane inspection		7	7	1	2	5	3	2	2	3	1	2	2	2	2	2	1	1	1	1	1
franna crane inspection		-	-	3	2	4	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1
rough terrain crane inspection		13	11	1	1	5	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2
tower crane inspection		-	-	4	5	16	5	6	18	4	3	2	3	2	4	5	9	8	8	9	10
crawler crane inspection		35	28	3	2	5	3	2	1	1	1	1	3	2	2	2	2	2	2	2	1
EWP inspection		-	-	16	18	26	17	12	13	13	13	17	17	16	17	17	18	18	20	23	26
telehandler certification		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	50	11
