		2021-11-18	2021-12-08	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-17	2022-06-15	2022-07-15	2022-08-17	2022-08-25	2022-09-07	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-15	2023-02-20	2023-03-16	2023-04-14	2023-05-15	2023-05-17	2023-05-29	2023-06-15	2023-07-20	2023-09-18	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-19	2024-03-15	2024-04-19	2024-05-16	2024-05-31	2024-06-11	2024-07-18	2024-08-16	2024-09-18	2024-09-24	2024-10-18	2024-11-14
lymphatic massage melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	33	21	20	17	17	20	19
lymphatic drainage melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	53	48	44	41	39	58	47
post surgery lymphatic melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17	17	22	15	18	20	15
wood therapy melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	1	1	1	2	1
thermage skin tightening melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	17	19	19	14	16	17	-	20	20	23	23	17	-	-	-	-	19	21	18	16	16	16	13	14	14	13	18	13	14
Kylie jenner butt lift melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1
skinpen melbourne		-	-	-	-	-	-	-	-	-	-	-	-	77	80	15	29	17	14	14	17	-	11	12	15	14	17	75	28	18	16	15	21	17	21	23	45	36	63	44	62	57	74	62
morpheus8 melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	18	17	14	11	12	16	-	17	17	20	22	26	57	27	31	21	29	24	-	29	30	33	29	-	-	78	71	-	-
Dermaplaning melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	34	34	32	36	33	33	-	-	-	-	-	52	-	52	66	69	74	68	62	60	75	-	73	65	53	54	50	36	38
Post pregnancy contouring		-	-	-	-	-	-	-	21	4	5	4	4	14	14	14	19	9	9	7	6	-	3	2	3	3	3	-	13	22	20	18	19	26	20	24	20	15	28	63	53	52	55	51
post pregnancy fat removal melbourne		-	-	-	-	-	-	-	12	6	15	15	25	44	41	8	10	10	7	6	3	-	5	5	7	2	2	87	8	17	13	9	16	20	17	11	12	8	22	-	21	19	22	18
cellulite removal brighton		-	-	-	-	-	-	-	76	10	6	6	5	6	7	3	3	3	3	3	2	70	4	2	2	2	2	14	3	5	3	5	4	4	4	3	4	1	2	3	3	3	3	3
stretch mark removal melbourne		-	-	-	-	-	-	-	-	-	-	72	81	91	88	72	79	71	40	42	52	-	56	56	60	56	-	-	-	-	-	-	-	-	-	-	-	-	22	22	25	22	25	22
baby weight removal		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	44	-	82	93	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
stretch mark removal kew		-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	5	5	6	7	7	-	7	7	7	7	7	-	17	-	-	19	18	17	18	25	14	13	21	14	29	30	31	29
cellulite removal kew		-	-	-	-	-	-	-	-	22	6	7	6	7	7	4	4	4	5	5	5	13	4	4	4	3	1	-	-	5	4	4	3	4	2	4	3	3	7	4	4	6	6	6
scar removal melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	84	98	76	71	78	80	-	95	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
loose skin removal melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	69	56	52	75	77	-	-	-	-	-	80	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
