		2023-05-29	2023-06-15	2023-07-07	2023-08-03	2023-09-15	2023-10-04	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-04	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
hybrid flooring Blakehurst		-	-	3	1	2	1	1	1	1	1	1	1	2	3	2	3	3	3	3
hybrid flooring Bangor		-	-	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2
hybrid flooring Monterey		-	-	2	1	2	1	1	1	2	3	3	2	3	2	3	3	3	3	3
hybrid flooring Taren Point		6	5	3	2	2	2	2	2	2	2	2	2	1	1	1	4	4	1	2
hybrid flooring Ramsgate		-	-	4	3	3	3	3	3	2	2	3	4	4	4	3	6	5	3	4
hybrid flooring Illawong		-	-	3	1	1	1	1	1	1	1	1	2	1	1	1	3	2	2	2
hybrid flooring Gymea Bay		-	-	2	1	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1
hybrid flooring Wolli Creek		-	-	2	1	1	1	1	1	2	2	1	1	2	2	2	2	3	3	3
flooring Hurstville		-	-	4	4	5	5	5	5	5	4	5	4	6	5	5	5	4	4	5
flooring Bexley		-	-	25	7	9	10	9	8	8	9	10	12	11	11	14	11	9	10	11
flooring Cronulla		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
flooring Earlwood		-	-	3	3	3	3	3	2	2	1	1	2	1	2	2	2	1	2	2
flooring Engadine		-	-	4	6	5	7	7	8	6	6	6	6	6	4	4	3	4	3	2
flooring Rockdale		-	-	5	5	7	9	5	5	6	5	5	6	5	5	5	5	5	6	6
flooring Miranda		-	-	55	5	5	5	3	3	2	3	3	3	2	2	3	3	3	4	5
flooring Kogarah		-	-	5	4	5	4	4	4	4	4	4	4	4	4	4	4	5	4	4
flooring Padstow		-	-	3	4	4	4	6	3	3	3	3	3	4	3	3	4	2	2	3
flooring Penshurst		-	-	12	3	2	3	2	2	3	2	2	2	2	2	2	2	3	2	3
flooring Kingsgrove		-	-	16	5	7	7	7	7	6	6	6	6	5	6	5	6	6	5	4
flooring Riverwood		-	-	4	4	3	3	4	2	2	3	3	3	3	3	3	5	3	3	4
flooring Caringbah		51	45	19	10	13	12	11	12	11	9	8	8	12	11	10	5	4	5	4
flooring Sutherland		75	64	65	11	16	12	11	11	11	12	5	9	6	4	4	4	1	1	1
flooring Carlton		-	-	2	2	2	1	2	2	3	2	2	3	4	1	1	1	1	3	1
flooring Arncliffe		-	-	7	3	4	4	4	4	3	3	3	4	4	4	5	3	3	4	4
flooring Peakhurst		-	-	15	6	6	7	6	5	5	5	4	5	7	7	6	7	7	6	10
flooring Oatley		-	-	2	2	1	1	1	1	1	1	1	2	1	2	2	2	2	2	4
flooring Sylvania		-	-	16	3	4	3	4	3	2	4	3	1	2	2	1	4	2	2	2
flooring Mortdale		-	-	11	3	3	5	5	5	6	6	7	6	7	6	8	8	6	3	8
flooring Menai		-	-	7	3	4	5	3	3	4	4	3	3	2	3	3	3	2	1	3
flooring Sans Souci		-	-	15	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	6
flooring Beverly Hills		-	-	-	3	3	4	3	4	3	3	3	6	5	5	4	5	4	4	3
flooring Kirrawee		-	-	13	12	12	9	12	5	6	5	4	3	3	4	3	13	3	3	4
flooring Brighton-Le-Sands		-	-	2	2	2	2	2	2	2	2	3	3	3	3	4	4	3	4	4
flooring Gymea		-	-	9	1	5	3	3	2	2	2	2	2	2	2	2	2	1	1	2
flooring Blakehurst		-	-	10	2	3	3	4	3	3	4	3	4	3	4	3	4	12	4	3
flooring Bangor		-	-	4	2	1	1	1	1	1	1	1	1	1	2	7	2	2	1	1
flooring Monterey		-	-	2	3	1	3	3	3	3	3	4	3	2	1	2	1	1	2	2
flooring Taren Point		5	5	5	5	5	5	6	5	5	6	6	5	6	4	5	5	5	5	6
flooring Ramsgate		-	-	12	6	7	7	6	6	5	5	5	5	6	6	6	6	4	7	7
flooring Illawong		-	-	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2
flooring Gymea Bay		-	-	12	2	2	1	1	1	1	1	1	1	3	3	2	3	2	2	1
flooring Wolli Creek		-	-	2	2	3	2	2	2	3	3	3	2	2	4	7	6	3	2	3
