		2021-11-18	2021-11-30	2021-12-06	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-17	2022-05-20	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-02	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-10	2023-06-15	2023-06-20	2023-07-20	2023-08-17	2023-08-29	2023-09-15	2023-10-04	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-09	2024-06-19	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
bin hire braybrook		-	-	34	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	1	1	1
bin hire brooklyn		-	-	66	4	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
bin hire essendon		-	-	49	25	7	8	5	3	3	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	3	3	2
bin hire footscray		-	-	47	5	9	8	6	4	4	2	2	2	2	3	2	2	3	3	4	4	3	3	3	5	5	4	4	4	3	2	2	2	2	1	1	3	3	1	2	2	2
bin hire keilor		-	-	5	3	3	5	1	2	2	1	1	1	2	1	1	1	1	1	1	1	3	2	2	1	-	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1
bin hire keilor east		-	-	7	5	6	5	2	2	2	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
bin hire laverton north		-	-	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	2
bin hire maidstone		-	-	70	24	3	3	3	43	3	3	3	3	3	3	2	2	2	17	2	2	2	2	2	1	1	1	1	1	1	1	2	1	1	2	1	1	2	2	1	1	1
bin hire maribyrnong		-	-	48	19	7	6	3	2	2	4	2	2	4	2	1	1	1	1	1	2	1	1	1	1	4	2	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1
bin hire moonee ponds		-	-	44	3	7	7	2	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	1	3	2
bin hire taylors lakes		-	-	5	1	5	4	3	2	1	1	1	3	2	2	2	2	2	2	3	3	3	3	3	3	2	2	2	2	2	2	1	2	2	2	2	4	5	2	4	5	4
bin hire west footscray		-	-	24	2	4	5	3	2	2	3	2	1	1	1	1	1	2	2	3	2	3	3	4	5	5	4	2	1	1	1	1	1	1	1	1	1	3	1	2	2	2
mini skip hire braybrook		-	-	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
mini skip hire brooklyn		-	-	20	3	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1
mini skip hire essendon		-	-	23	13	19	17	3	1	1	2	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	2	2	2	2	2	2	2
