		2023-07-31	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-02	2024-01-22	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-15	2024-08-16	2024-09-20	2024-10-14	2024-11-14	2024-12-03
drain repairs melbourne		-	-	-	-	-	-	23	27	29	35	37	29	23	48	40	-	70	39	34
blocked drains altona		-	-	-	-	1	4	4	1	14	19	61	15	9	9	10	17	31	26	22
blocked drains caroline springs		-	-	-	4	3	3	3	3	3	5	7	5	5	5	5	13	13	14	17
blocked drains essendon		-	-	-	49	10	9	9	9	10	14	17	23	15	12	15	24	22	21	26
blocked drains footscray		-	-	-	18	6	11	9	12	13	7	6	5	4	4	5	9	13	19	14
blocked drains geelong		-	-	-	55	15	17	18	21	23	29	33	32	31	32	34	43	42	34	36
blocked drains hoppers crossing		-	-	-	6	5	7	8	8	8	9	11	8	5	6	8	6	16	11	10
blocked drains point cook		-	-	-	24	4	6	5	5	5	6	5	4	4	4	5	6	9	9	12
blocked drains sunshine		-	-	-	73	1	9	9	9	16	21	19	19	-	17	77	64	-	7	6
blocked drains werribee		-	-	-	30	20	29	9	10	13	24	20	10	7	6	8	13	18	12	10
blocked drains williamstown		-	60	-	25	8	9	8	9	13	13	15	10	8	7	12	19	21	23	28
hot water service altona		-	-	-	9	7	8	9	7	13	13	11	8	5	4	6	6	9	11	12
hot water service caroline springs		-	-	-	11	5	9	7	8	9	12	9	7	5	3	6	7	16	5	7
hot water service essendon		-	-	-	24	18	11	10	11	13	14	14	10	8	7	9	14	25	22	22
hot water service footscray		-	-	-	70	6	10	12	11	12	19	15	10	6	6	11	20	28	19	20
hot water service geelong		-	-	-	89	22	27	26	29	31	36	37	33	35	35	31	50	46	36	35
hot water service hoppers crossing		-	-	-	11	7	9	8	9	12	17	13	8	6	6	6	9	24	14	15
hot water service point cook		-	-	-	5	5	9	9	9	12	12	10	11	5	4	6	7	7	9	10
hot water service sunshine		-	-	-	-	5	7	8	8	7	63	57	6	12	11	13	21	6	5	4
hot water service werribee		-	-	-	-	11	11	11	12	12	13	11	10	9	7	7	11	19	22	20
hot water service williamstown		-	-	-	2	4	5	6	10	11	9	6	3	3	3	3	5	15	6	8
plumbers altona		-	-	-	76	23	29	26	31	32	44	64	43	42	31	51	31	56	56	50
plumbers caroline springs		-	-	-	18	19	21	21	21	25	31	57	42	29	19	23	38	45	43	42
plumbers essendon		-	-	-	75	23	26	26	28	28	39	49	48	35	35	40	57	60	56	52
plumbers footscray		-	-	-	69	33	19	19	23	33	38	36	26	45	47	46	46	44	48	50
plumbers geelong		-	-	-	-	32	70	64	86	92	-	88	96	83	75	80	-	-	81	91
plumbers hoppers crossing		-	-	-	45	23	25	28	28	53	54	58	56	42	56	51	55	69	45	44
plumbers point cook		-	-	-	36	19	22	20	25	27	25	71	23	17	20	27	41	43	25	34
plumbers sunshine		-	-	-	-	17	17	19	23	22	27	78	67	24	29	37	48	45	50	49
plumbers werribee		-	-	-	79	36	41	38	60	65	38	38	30	37	33	36	47	57	39	40
plumbers williamstown		52	36	49	20	22	29	24	28	28	33	33	28	42	35	34	56	49	41	44
plumbers melbourne cbd		-	-	-	74	15	20	21	20	22	24	25	24	21	28	31	37	43	34	43
hot water service melbourne		-	-	-	-	32	97	99	95	97	-	-	-	-	-	-	-	-	-	-
blocked drains melbourne		-	-	-	-	47	-	81	91	-	-	-	-	-	-	-	-	-	-	-
maintenance plumbing melbourne		-	-	-	13	15	16	15	20	21	47	61	27	44	64	41	49	49	31	40
