		2023-01-11	2023-02-16	2023-03-16	2023-03-26	2023-04-14	2023-05-17	2023-06-15	2023-06-28	2023-08-09	2023-09-15	2023-09-27	2023-10-20	2023-11-17	2023-12-15	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-15	2024-06-06	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
House Relevelling Ivanhoe		-	11	1	1	1	7	5	5	5	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	2
House Relevelling Newport		4	4	1	1	1	1	4	4	1	1	1	1	1	1	1	5	1	2	1	1	1	1	1	1	1	1
House Relevelling Williamstown		-	-	2	3	3	3	3	3	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
House Relevelling Heidelberg		55	9	3	2	1	2	1	1	2	1	1	1	2	2	1	3	1	1	1	3	1	1	2	1	1	1
House Relevelling Heathcote Junction		-	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
House Relevelling Geelong		9	11	8	11	10	9	8	8	13	8	8	8	8	10	9	9	5	6	5	4	3	3	4	4	7	8
House Relevelling Coburg		8	12	3	3	3	3	2	2	2	2	2	2	3	2	2	2	1	1	1	1	1	1	2	1	1	2
restumping melbourne		-	-	-	-	-	-	-	17	52	18	18	21	25	22	23	22	21	23	17	16	21	17	21	23	15	17
house restumping		-	-	-	-	-	-	-	42	23	-	-	-	25	16	32	38	28	26	-	17	46	10	-	-	8	4
house stump replacement		-	-	-	-	-	-	-	-	16	-	-	31	13	40	-	-	-	16	16	-	-	38	47	57	17	14
house underpinning melbourne		-	-	-	-	-	-	-	11	8	9	8	8	6	7	7	5	6	7	4	6	4	5	5	8	8	9
underpinning services melbourne		-	-	-	-	-	-	-	15	12	12	11	12	6	8	8	5	6	7	5	6	3	4	4	5	2	6
house levelling		-	-	-	-	-	-	-	7	9	6	6	6	5	5	5	4	6	1	2	2	1	4	3	4	2	2
floor levelling melbourne		-	-	-	-	-	-	-	-	-	44	43	57	55	64	60	67	52	60	64	57	61	67	83	81	60	59
underpinning healesville		-	-	-	-	-	-	-	-	-	-	-	88	3	2	3	3	1	1	1	1	1	1	1	1	1	1
underpinning reservoir		-	-	-	-	-	-	-	-	-	-	-	-	1	1	10	8	9	1	1	1	1	1	1	1	1	1
underpinning preston		-	-	-	-	-	-	-	-	-	-	-	-	15	4	3	3	8	2	2	2	1	2	1	4	3	4
underpinning thornbury		-	-	-	-	-	-	-	-	-	-	-	-	2	2	5	6	2	3	3	3	1	1	1	1	1	2
underpinning northcote		-	-	-	-	-	-	-	-	-	-	75	87	11	10	7	6	2	4	2	2	2	2	3	3	2	4
restumping healesville		-	-	-	-	-	-	-	-	-	-	-	-	11	9	7	4	3	7	5	6	3	2	3	2	2	3
restumping reservoir		-	-	-	-	-	-	-	-	-	-	-	-	15	14	18	12	12	7	8	8	8	5	6	5	6	6
restumping preston		-	-	-	-	-	-	-	-	-	-	-	-	12	11	8	7	12	12	8	7	6	6	2	2	2	2
restumping thornbury		-	-	-	-	-	-	-	-	-	-	-	-	10	11	10	8	8	5	4	2	2	2	2	2	2	2
restumping northcote		-	-	-	-	-	-	-	-	-	-	-	-	12	12	10	8	9	10	7	6	5	7	5	6	4	4
house relevelling healesville		-	-	-	-	-	-	-	-	-	-	83	90	1	1	6	1	1	5	1	1	1	1	1	1	1	1
house relevelling reservoir		-	-	-	-	-	-	-	-	-	-	53	-	1	1	6	1	1	1	1	1	1	1	1	1	1	1
house relevelling preston		-	-	-	-	-	-	-	-	-	-	-	-	9	6	1	4	1	1	1	1	1	1	1	1	1	1
house relevelling thornbury		-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1
house relevelling northcote		-	-	-	-	-	-	-	-	-	-	22	23	3	3	7	3	3	2	2	7	1	1	2	1	2	3
resin injection melbourne		-	-	-	-	-	-	-	-	-	-	-	-	31	26	5	4	5	1	3	4	1	2	2	3	3	4
resin injection underpinning melbourne		-	-	-	-	-	-	-	-	-	-	52	-	15	15	7	1	5	3	1	3	2	3	4	5	4	6
resin underpinning melbourne		-	-	-	-	-	-	-	-	-	-	32	28	18	14	5	1	3	3	3	3	1	1	4	4	2	4
resin injection		-	-	-	-	-	-	-	-	-	-	-	-	-	-	15	20	29	14	13	12	5	18	18	21	19	24
resin injection services melbourne		-	-	-	-	-	-	-	-	-	-	-	-	5	6	3	3	1	1	1	1	1	1	1	1	2	3
