		2022-11-08	2022-12-12	2023-01-16	2023-02-16	2023-03-17	2023-04-14	2023-04-24	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-08	2023-11-24	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-06	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
container mast forklift		-	-	15	15	14	54	26	58	-	-	-	-	-	-	-	-	39	35	21	-	25	27	25	22	26	27	30
electric forklift		17	66	22	35	41	54	19	36	-	-	-	-	-	-	-	-	50	72	56	55	-	-	-	-	-	-	-
electric forklift for sale		34	37	15	16	13	46	25	30	80	25	-	-	19	-	-	-	29	29	23	19	21	22	25	28	38	44	29
electric forklift parts		1	1	2	2	2	5	4	5	-	-	-	1	-	-	-	-	6	6	4	9	9	12	10	34	39	10	6
electric forklift rental		35	24	10	23	49	-	59	82	75	22	-	-	-	-	-	-	15	14	8	15	8	19	23	17	24	20	12
electric forklift repairs melbourne		1	1	3	3	4	6	7	6	6	32	31	21	37	44	50	48	4	3	2	3	3	3	4	5	6	9	8
forklift accessories		9	16	12	43	69	70	34	48	-	-	-	-	-	-	-	-	50	59	32	59	27	35	77	64	59	55	57
forklift for sale		56	18	13	13	16	22	22	23	-	-	-	25	24	-	-	48	31	40	15	4	7	8	7	6	17	34	16
forklift for sale australia		23	22	29	23	29	42	34	32	-	51	-	36	-	-	-	-	35	36	38	37	28	31	36	56	57	46	45
forklift hire		28	26	70	-	24	25	20	25	31	29	-	27	29	28	32	37	48	49	27	39	47	44	62	68	97	88	-
forklift hire melbourne		25	33	20	20	34	31	28	30	35	33	-	-	24	53	47	56	32	31	11	13	11	29	35	35	40	39	40
forklift lease		16	11	10	14	12	17	9	14	16	15	-	18	19	9	22	10	4	6	6	6	2	3	3	4	5	5	7
forklift parts		4	4	9	16	27	45	15	33	-	-	-	-	-	-	-	-	47	44	14	35	9	10	42	60	58	24	18
forklift parts australia		8	7	11	11	14	48	14	17	81	-	22	16	-	-	-	-	24	21	12	29	25	35	36	30	37	30	13
forklift parts melbourne		6	4	7	6	7	24	11	12	40	-	61	43	50	-	61	75	5	8	2	2	6	8	7	6	6	5	3
forklift rental		20	-	21	21	55	87	73	-	-	-	-	-	-	-	-	-	35	34	21	21	22	27	37	39	43	40	38
forklift rental melbourne		19	20	20	21	26	35	23	27	28	27	37	34	30	45	45	39	20	19	11	11	11	15	15	16	18	24	25
forklift repairs melbourne		10	9	11	11	12	12	13	11	11	38	40	35	51	51	56	49	15	15	7	8	12	10	10	19	21	12	6
forklift sales melbourne		14	17	19	14	17	20	17	26	-	-	-	-	42	43	43	-	41	43	21	19	24	23	34	39	43	38	43
forklift service melbourne		6	3	14	11	13	12	10	13	16	-	33	39	39	44	-	-	15	14	9	9	10	7	11	16	15	12	18
forklift servicing		18	14	10	15	21	22	12	11	24	-	-	-	-	-	-	-	37	36	15	12	12	5	9	12	15	25	25
forklift spare parts		5	4	7	18	15	20	15	22	-	-	-	-	-	-	-	-	21	21	13	15	7	11	30	27	27	23	14
forklift spares		6	6	10	9	10	19	12	12	-	-	-	-	-	-	-	-	13	11	7	9	6	9	10	8	9	9	2
forklifts australia		8	7	22	26	27	58	32	60	72	75	84	40	33	23	26	26	25	23	25	20	22	31	36	34	38	42	50
forklifts for sale melbourne		16	17	18	15	19	28	32	33	42	56	59	51	64	61	65	73	42	36	21	16	18	18	25	35	36	39	31
forklifts melbourne		31	26	20	22	28	44	23	32	38	32	30	29	29	15	16	12	15	24	22	21	27	35	32	35	43	6	28
melbourne forklift hire		31	31	21	24	35	34	30	35	34	47	41	-	35	50	52	29	31	32	23	12	67	35	38	36	38	38	44
narrow aisle forklift		-	13	9	8	10	9	8	7	-	-	-	-	-	-	-	-	19	20	18	22	24	27	36	34	37	43	36
narrow aisle forklift for sale		3	4	2	2	2	5	2	2	63	3	3	-	-	-	-	-	7	6	5	7	7	5	7	5	7	9	9
narrow aisle reach truck		46	42	16	14	35	34	23	22	-	-	-	-	-	-	-	-	58	51	47	35	39	42	55	60	-	-	-
new forklift		7	5	9	12	18	38	15	17	14	18	19	14	23	23	21	17	17	15	13	11	11	5	8	6	7	10	8
new forklifts for sale		64	25	35	29	33	-	35	12	-	53	-	83	-	-	-	60	17	20	14	13	11	5	9	9	9	9	9
second hand forklifts melbourne		8	11	12	15	14	21	12	20	46	56	51	47	55	51	56	69	29	25	66	12	13	15	14	25	32	27	23
secondhand forklifts		3	13	9	15	18	27	8	26	-	-	-	-	-	-	-	-	31	49	30	15	40	52	21	28	33	73	27
used electric forklift		52	39	25	23	35	9	8	42	-	-	-	-	-	-	-	-	66	45	38	10	10	17	26	22	31	26	11
used forklift		11	13	10	12	12	12	9	22	-	-	-	23	-	-	-	-	34	20	13	16	14	12	-	-	-	-	-
used forklift for sale melbourne		14	17	15	17	16	30	15	22	51	46	60	19	65	62	57	87	30	32	19	40	18	15	18	29	29	38	21
used forklifts for sale		13	12	12	9	11	10	10	21	-	-	-	-	16	-	-	-	12	18	12	6	6	14	18	27	31	22	11
used forklifts for sale australia		17	15	19	26	20	28	17	29	64	23	-	71	-	-	-	-	26	25	15	16	15	20	29	31	34	51	39
used forklifts melbourne		10	11	13	15	16	22	17	20	55	60	21	49	63	62	59	58	32	28	19	18	17	16	19	27	30	32	24
forklift hire dandenong		5	5	9	11	6	24	18	22	26	33	45	36	29	44	46	38	19	19	10	17	47	17	21	18	20	14	18
flexilift forklift for sale		-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
used flexilift forklift for sales		-	-	1	1	1	1	1	1	3	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
flexilift rental forklifts		-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
flexi narrow aisle forklifts		-	-	1	1	1	1	1	1	1	1	1	1	21	1	1	1	1	1	1	1	1	1	1	2	3	2	3
used flexi forklift		-	-	2	1	1	2	1	1	3	2	2	8	7	2	3	2	2	2	2	2	2	2	1	2	2	2	3
flexi forklift sales		-	-	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
flexi forklift rentals		-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
articulated forklift sales		-	-	2	1	3	3	1	2	3	3	3	1	2	4	4	1	2	4	4	4	4	4	1	3	2	2	4
used articulated forklifts		-	-	6	7	12	9	10	16	26	40	33	31	38	39	29	43	10	8	6	5	5	8	12	21	21	25	22
articulated forklift rental		-	-	4	2	2	2	3	2	2	4	6	3	4	3	3	3	3	1	1	1	2	3	4	3	3	4	2
