		2021-11-18	2021-12-16	2022-01-20	2022-02-08	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-30	2023-08-01	2023-10-15	2024-02-19	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
hip hop dance classes rosanna		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
break dance classes thornbury		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
break dance classes northcote		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
break dance classes hadfield		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
break dance classes kew		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	2	1	1	1	1	1	2
break dance classes gladstone park		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
break dance classes meadow heights		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
break dance classes rosanna		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
tap dancing thornbury		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	2	2
tap dancing northcote		1	1	1	1	1	1	1	1	2	2	1	1	2	2	2	3	3	2	3	2	3	1	1	1	1	2	1	1	1	1	1
tap dancing hadfield		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
tap dancing gladstone park		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
tap dancing meadow heights		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
tap dancing rosanna		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jazz dance classes thornbury		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jazz dance classes northcote		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jazz dance classes hadfield		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jazz dance classes gladstone park		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jazz dance classes meadow heights		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jazz dance classes rosanna		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1
Ballet Classes Epping		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	5	5	6	3	6	6	2	5	9
Ballet Classes Northcote		2	1	1	1	1	2	2	2	2	3	2	3	5	5	8	8	9	7	6	6	2	3	1	1	2	1	1	2	2	2	5
Dance Classes Broadmeadows		2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Dance Classes Brunswick		5	6	5	4	4	4	2	3	4	6	4	4	3	6	9	7	7	8	10	10	10	14	14	12	16	20	16	21	17	19	17
Dance Classes Epping		1	1	2	3	2	1	1	1	1	1	1	1	1	1	2	2	4	6	6	2	3	2	4	5	6	7	5	5	6	7	10
Dance Classes Essendon		1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Dance Classes Greensborough		5	6	4	4	2	3	2	2	2	2	4	3	3	3	3	3	3	3	4	4	3	5	5	5	3	3	5	2	2	2	3
Dance Classes Lalor		2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Dance Classes Mill Park		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	2
Dance Classes Northcote		1	1	1	1	1	1	1	1	2	3	3	4	5	7	5	5	4	4	7	4	1	2	1	1	1	1	1	1	1	2	2
Dance School Broadmeadows		1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	2	1	1
Dance School Lalor		2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2
Dance School Northcote		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	2	1	1	1	2	2
Dance Schools Essendon		1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	3	2	4	3	3	3	3	3	3	4	3	4	4	4	4	4
Dance Schools Greensborough		3	3	2	4	3	3	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	5	3	3	3	2	2	2	5
Dance Schools Mill Park		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
Dance Schools Strathmore		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Hip Hop Dance Classes Brunswick		1	2	1	1	1	1	1	1	1	1	1	1	1	2	3	3	3	3	3	4	5	5	6	6	6	5	4	7	5	6	5
dance school glenroy		2	3	2	2	2	2	2	2	2	2	2	2	1	1	3	2	1	2	2	2	2	2	2	2	2	1	1	3	1	3	1
Hip Hop Dance Classes Strathmore		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
