		2023-12-06	2024-01-19	2024-02-15	2024-03-05	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-17	2024-11-14
boat hire central coast		-	-	-	-	11	10	8	7	7	7	6	7
fishing boat hire central coast		-	-	-	14	6	5	4	4	3	4	3	3
lake boat hire central coast		-	-	8	7	5	5	4	4	4	4	4	4
fishing charter central coast		-	-	-	-	53	53	36	37	40	36	43	36
kayak hire central coast		-	-	-	-	17	13	12	14	13	15	16	18
sup hire central coast		-	-	-	-	15	10	12	13	12	12	9	14
boat hire Lake Macquarie		-	9	6	2	3	3	2	2	2	2	2	2
boat hire Lake Mac		-	-	6	3	3	3	2	2	2	2	2	2
fishing boat hire Lake Macquarie		51	8	5	3	3	3	3	3	3	3	3	3
lake boat hire lake macquarie		-	12	5	3	3	2	2	2	2	3	2	2
fishing charter lake macquarie		-	64	12	11	4	4	3	3	2	2	2	2
fishing charter lake mac		-	-	8	9	4	4	2	2	2	2	2	2
kayak hire lake macquarie		-	-	35	20	9	6	6	8	6	6	4	5
sup hire lake macquarie		40	-	-	-	6	7	6	6	7	7	5	7
stand up paddle boards hire lake mac		-	-	9	42	6	6	4	5	5	5	5	5
boat hire toronto		61	8	14	6	5	3	2	2	2	2	-	1
fishing boat hire toronto		52	14	2	2	1	4	1	1	1	1	8	2
lake boat hire toronto		59	4	3	3	2	1	1	1	2	1	1	1
fishing charter toronto		-	-	-	84	28	12	29	27	30	13	62	8
kayak hire toronto		-	-	-	31	19	21	25	26	20	18	15	7
sup hire toronto		-	-	-	-	17	27	17	19	17	16	15	7
boat hire swansea		-	-	11	4	4	3	2	2	4	2	2	2
fishing boat hire swansea		-	-	21	4	4	4	1	1	1	1	4	1
lake boat hire swansea		-	27	5	4	3	3	2	2	2	2	2	3
fishing charter swansea		-	-	54	48	20	20	12	12	13	16	16	17
kayak hire swansea		-	-	-	87	6	5	3	3	5	4	-	4
sup hire swansea		-	-	-	-	12	5	1	1	5	4	1	2
boat hire newcastle		-	-	96	6	4	2	17	1	2	2	2	1
fishing boat hire newcastle		-	-	15	6	5	4	2	2	2	2	2	2
kayak hire newcastle		-	-	-	61	5	2	2	2	2	2	2	2
