		2021-11-19	2021-12-16	2022-01-20	2022-02-17	2022-03-02	2022-04-22	2022-04-26	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
security doors airport west		-	-	-	-	-	-	-	-	11	10	10	19	15	14	16	14	17	6	6	6	9	8	10	11	9	9	6	6	5	6	6	6	6	6	6	5	5	7
security doors altona		14	9	7	8	6	5	5	4	4	3	2	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
security doors belmont		-	-	-	-	-	-	-	-	2	10	31	3	1	9	1	2	8	5	5	5	6	4	-	4	3	5	3	1	1	1	1	1	1	1	1	1	1	1
security doors caroline springs		14	10	12	10	10	11	10	8	7	9	8	8	7	8	8	8	8	8	5	4	5	3	3	4	4	6	6	5	5	6	5	5	6	6	7	6	6	7
security doors coburg		5	2	3	3	3	5	5	7	5	5	4	5	4	5	3	8	8	7	6	6	6	6	6	5	3	4	4	4	4	3	3	4	4	4	5	4	8	7
security doors craigieburn		14	14	8	12	11	13	10	12	10	15	13	13	12	19	17	17	19	20	13	13	12	16	26	25	22	19	18	28	23	47	18	18	23	25	24	23	22	26
security doors deer park		10	9	12	-	12	11	10	11	11	11	9	12	9	11	11	11	7	4	4	4	5	4	4	4	3	3	3	3	3	2	2	2	2	2	2	2	2	2
security doors derrimut		-	-	-	-	-	-	-	-	12	15	14	16	15	17	17	16	16	14	21	15	17	10	9	9	8	9	16	26	10	16	10	8	9	20	21	7	20	20
security doors epping		16	6	7	9	9	9	10	9	10	8	10	10	-	8	6	11	10	10	11	12	11	6	6	5	5	7	9	9	8	6	6	14	5	6	7	8	7	11
security doors essendon		12	13	13	10	10	10	10	10	11	11	11	13	12	11	9	10	12	12	12	12	11	7	7	7	8	7	9	8	8	5	5	5	5	4	3	4	4	5
security doors fawkner		-	-	-	-	-	-	-	-	8	3	5	5	5	3	4	2	3	3	3	3	6	6	7	3	8	7	4	4	8	8	3	5	4	4	8	7	6	5
security doors footscray		12	15	-	-	-	-	-	-	5	6	5	3	3	3	4	3	2	2	2	5	4	7	9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1
security doors geelong		4	4	2	3	2	3	2	4	6	4	5	3	3	7	6	8	5	3	5	6	3	4	5	7	7	8	7	7	6	6	7	7	6	5	4	4	3	3
security doors greenvale		-	-	-	-	-	-	-	-	5	6	5	7	-	7	7	8	9	5	5	5	7	7	7	7	9	9	11	9	11	9	8	7	8	7	5	5	7	7
security doors hoppers crossing		-	-	-	-	-	-	64	-	18	14	15	20	21	14	17	16	16	13	17	15	15	12	11	12	9	10	10	9	9	8	8	7	8	9	10	7	7	10
security doors keilor		14	13	10	8	9	11	11	10	12	11	9	8	8	10	10	8	9	8	9	9	9	9	9	8	8	8	6	6	7	7	6	6	6	7	7	8	7	9
security doors lalor		-	-	-	-	-	-	-	-	9	9	4	7	8	5	6	7	7	4	6	4	5	4	4	7	5	4	4	5	4	4	3	7	7	8	8	8	8	7
security doors laverton		-	-	-	-	-	-	17	-	12	10	8	16	10	10	10	3	2	3	2	2	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1
security doors maidstone		-	-	-	-	-	-	-	-	6	6	7	4	4	3	3	3	3	2	3	4	2	1	-	2	2	2	2	2	2	3	2	1	2	2	2	2	2	2
security doors maribyrnong		11	5	4	4	4	3	3	3	3	3	2	2	2	2	2	3	3	1	2	3	1	3	5	1	1	2	3	2	2	2	2	2	2	2	2	2	2	2
security doors melbourne		27	36	55	86	36	22	19	19	19	16	15	18	29	29	39	37	24	21	18	14	17	16	18	18	21	28	34	38	32	19	39	40	24	30	31	40	44	46
security doors melton		4	4	5	9	9	9	8	6	9	9	9	9	9	9	9	10	8	2	8	7	6	4	4	2	3	3	3	3	2	2	3	2	2	2	1	2	2	2
security doors moonee ponds		7	7	9	4	4	4	4	4	5	4	5	5	5	4	4	4	4	3	4	4	3	2	2	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2
security doors newport		8	6	5	10	10	6	6	5	5	5	5	8	6	5	-	6	7	8	5	4	5	4	9	3	5	5	4	4	4	2	2	2	2	2	2	1	3	1
