		2021-11-18	2021-12-06	2022-01-21	2022-02-09	2022-04-08	2022-05-17	2022-06-15	2022-06-20	2022-07-15	2022-08-17	2022-09-16	2022-10-05	2022-10-20	2022-11-17	2022-12-05	2023-01-19	2023-02-16	2023-03-06	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-09	2023-11-01	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
payday loans		-	-	-	-	-	-	26	27	8	2	4	3	4	6	9	5	6	4	7	9	6	11	10	13	18	12	16	20	13	21	21	18	4	3	2	3	4	5
payday loans online		-	-	-	-	30	-	10	11	12	12	11	17	16	18	17	14	13	11	31	13	6	11	11	13	15	11	20	18	10	17	16	3	10	5	3	4	5	6
centrelink loans		-	88	15	7	8	12	2	4	6	6	9	9	9	9	6	9	6	6	7	7	7	8	7	8	9	5	9	10	7	7	9	8	10	7	8	7	3	8
loans for people on centrelink		-	-	11	2	5	5	2	2	2	2	4	4	5	5	5	4	4	4	5	6	6	4	3	3	6	6	5	5	6	5	5	5	3	4	4	4	4	4
small loans centrelink		83	47	8	1	7	5	1	1	1	1	5	3	5	5	6	4	3	3	3	5	3	4	2	4	8	6	6	5	6	6	4	6	3	4	5	6	1	3
payday loans Gosford		4	4	4	4	3	3	3	1	3	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
payday loans Wollongong		3	2	2	2	3	3	2	1	1	2	3	3	2	2	2	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2
payday loans Tweed Heads		3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
payday loans Blacktown		4	10	6	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
payday loans Penrith		3	3	7	2	2	2	2	2	2	1	3	2	3	2	3	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
payday loans Wagga Wagga		4	10	4	4	3	3	3	3	3	2	4	3	4	4	4	4	2	2	1	1	2	1	1	2	2	3	2	1	1	1	1	1	1	1	1	1	1	1
