		2023-07-17	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-12	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
bathroom renovations melbourne		-	-	-	-	45	48	36	83	86	89	81	93	-	-	88	-	-
kitchen renovations melbourne		-	-	-	-	93	38	43	28	-	90	-	-	-	-	68	-	62
home renovations melbourne		-	-	-	-	-	-	-	83	29	28	31	39	44	-	48	54	37
home extensions melbourne		-	-	77	90	36	31	29	19	14	13	17	24	53	47	40	42	38
laundry renovations melbourne		-	-	28	21	21	22	18	15	16	11	11	10	16	32	19	25	22
bathroom renovations armadale		-	-	32	35	11	7	5	5	4	4	6	4	6	6	8	10	11
bathroom renovations balwyn		-	-	50	43	31	28	5	7	6	6	4	5	4	7	2	2	3
bathroom renovations burwood		-	-	59	46	27	26	20	10	10	10	10	10	13	13	10	30	8
bathroom renovations camberwell		-	-	13	44	18	16	9	7	7	5	8	6	7	8	7	9	6
bathroom renovations canterbury		-	-	44	37	12	13	2	3	2	3	3	2	1	1	2	3	3
bathroom renovations glen iris		-	-	66	51	29	28	15	13	11	12	11	11	13	13	8	7	9
bathroom renovations hawthorn		-	-	55	55	20	26	8	7	10	10	12	8	9	7	7	5	8
bathroom renovations malvern		-	-	37	41	16	30	7	9	8	9	9	10	10	11	10	8	11
bathroom renovations prahran		-	-	26	18	18	14	14	6	6	6	4	5	5	5	6	4	10
bathroom renovations richmond		-	-	81	82	17	17	9	9	7	6	10	9	10	10	10	10	10
bathroom renovations surrey hills		-	-	42	40	25	22	4	4	3	3	3	3	3	2	4	5	3
home extensions armadale		-	-	2	2	2	2	1	2	1	1	1	1	1	1	1	1	7
home extensions balwyn		-	-	-	-	5	5	4	3	4	5	2	3	5	6	5	6	5
home extensions burwood		-	-	3	28	3	3	2	2	2	2	2	3	2	2	3	3	6
home extensions camberwell		-	-	82	75	7	7	6	5	5	5	7	5	5	5	8	10	6
home extensions canterbury		-	-	-	-	5	7	2	2	3	2	6	2	2	2	2	3	2
home extensions glen iris		-	-	45	28	7	7	5	4	6	6	7	7	7	8	10	20	17
home extensions hawthorn		-	-	-	-	6	6	5	5	4	5	6	4	3	7	5	4	5
home extensions malvern		-	-	6	7	6	61	1	1	2	4	4	2	3	4	4	7	8
home extensions prahran		-	-	5	33	15	14	3	2	2	3	2	3	3	3	3	2	2
home extensions richmond		-	-	4	4	2	3	2	1	2	2	1	2	2	2	2	2	2
home extensions surrey hills		-	-	12	9	12	4	4	3	3	3	4	3	3	6	4	7	6
home renovations armadale		-	-	3	1	2	2	1	1	1	1	1	1	2	2	1	1	10
home renovations balwyn		-	-	91	86	6	5	4	3	4	3	2	2	1	2	1	1	3
home renovations burwood		-	-	-	-	4	4	3	3	3	3	3	2	2	2	2	1	5
home renovations camberwell		-	-	19	85	8	6	3	5	3	4	4	3	4	4	5	5	5
home renovations canterbury		-	-	42	7	5	12	3	2	3	2	4	2	2	2	2	2	2
home renovations glen iris		-	-	-	9	8	7	8	6	8	7	10	12	11	10	9	11	9
home renovations hawthorn		-	-	-	-	6	6	6	6	6	5	6	7	7	6	5	3	5
home renovations malvern		-	-	59	89	5	4	4	3	3	4	4	4	5	4	4	4	4
home renovations prahran		-	-	8	8	15	5	3	2	2	2	2	1	1	4	2	2	2
home renovations richmond		-	-	-	-	4	3	2	1	1	1	1	1	1	1	2	27	2
home renovations surrey hills		-	-	-	59	4	4	4	5	4	2	3	2	3	5	3	3	3
bathroom renovations mont albert		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5
home extensions mont albert		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9
home renovations mont albert		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6
