		2021-11-18	2021-12-16	2022-01-20	2022-02-03	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-03	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-05	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-06-28	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
3m safety link fall protection system		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	8	8	6	6	7	4	2	1	2	1	1	1	1	4	5	4	4	3
safetylink fall protection system		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16	27	18	23	13	14	18	21	18	11	6	8	8	8	9	9	10	7	7
as/nzs 1891 inspection		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
as/nzs 1891 recertification		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
roof access audit		1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2
as1657 compliance audit		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2
as1657 compliance inspection		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	2	2	1	2	2	4	3	1	1	3	1
ladder compliance audit		1	1	1	1	2	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2
aluminium roof walkways melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
anchor point certification and recertification		1	1	1	1	1	1	2	1	2	2	2	1	2	2	2	2	2	1	2	5	2	5	5	3	3	4	4	4	4	4	4	4	4	4	4	4	2	2
cooling towers platform melbourne		1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3
fall arrest roof anchors melbourne		2	1	1	2	2	1	1	2	2	2	1	1	1	1	3	2	2	3	3	4	1	3	2	1	2	2	3	2	1	1	1	1	1	1	1	1	3	4
fixed roof access ladder melbourne		2	2	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
height safety systems melbourne		2	1	2	1	5	6	4	4	4	4	3	3	4	4	4	4	4	4	6	8	7	7	3	5	5	5	4	4	4	5	4	5	4	5	5	5	4	5
permanent safety guardrail systems melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
roof access hatch installation		1	4	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	3	2	3	4	3	4	4	3	2	3	3	3	1	1	1	1	2	3	3	3	2
roof access ladders melbourne		2	2	2	2	2	3	4	6	3	3	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	5	5	1	2	1	1	1	1	1	1	1	1
